accession,taxid
NC_138362.1,3431579
NC_138361.1,3431578
NC_138360.1,3431576
NC_138359.1,3431577
NC_138333.1,3432658
NC_138290.1,2950732
NC_138336.1,1618254
NC_138334.1,3432225
NC_115643.1,3427920
NC_099384.1,3432591
NC_138331.1,3432036
NC_138330.1,3431908
NC_138329.1,3431607
NC_138328.1,3431606
NC_138327.1,3431605
NC_138326.1,3431594
NC_115653.1,2586186
NC_098669.1,3431409
NC_138325.1,2656676
NC_106277.1,3430988
NC_106276.1,3430987
NC_106272.1,3430986
NC_106275.1,3430336
NC_138323.1,3430282
NC_138321.1,2851491
NC_138100.1,3428632
NC_138099.1,3428313
NC_138098.1,3428227
NC_137951.1,3427531
NC_137887.1,3431258
NC_137861.1,3431846
NC_137539.1,3432593
NC_137538.1,2656686
NC_137537.1,3426491
NC_137536.1,2905509
NC_137535.1,2905460
NC_137533.1,3428151
NZ_CP011102.1,1006155
NC_137526.1,3425970
NC_115651.1,2586184
NC_137525.1,3425968
NC_099379.1,3425967
NC_137524.1,3433622
NC_137523.1,2985992
NC_106287.1,3432444
NC_115621.1,2585053
NC_096653.1,3432398
NC_137453.1,2851475
NC_137452.1,2851430
NC_116084.1,3432379
NC_137451.1,2851401
NC_137450.1,2851456
NC_137449.1,3432257
NC_115838.1,3432250
NC_137448.1,2851465
NC_137447.1,2656687
NC_137446.1,3432233
NC_129370.1,3432230
NC_137445.1,2656673
NC_137444.1,3432089
NC_115630.1,2585062
NC_096645.1,3431157
NZ_CP016318.1,1496
NZ_CP010905.2,272563
NC_097183.1,1519396
NC_137421.1,2851402
NC_129433.1,3431138
NC_137420.1,2656682
NC_097182.1,1519395
NC_137419.1,3431134
NC_137418.1,3431130
NC_115646.1,3431129
NC_117001.1,3431128
NC_099383.1,3431125
NC_137417.1,2851458
NC_137416.1,2656684
NC_137415.1,3431119
NC_137414.1,2656680
NC_097170.1,3430106
NC_137413.1,3430105
NC_137412.1,2851451
NC_115754.1,2664242
NC_137411.1,3430102
NC_137410.1,2656683
NC_097184.1,1519397
NC_098687.1,3427921
NC_137323.1,3433583
NC_137322.1,3433582
NC_075434.1,3432455
NC_111513.1,3027007
NC_105433.1,2902673
NC_136443.1,3035954
NC_116571.1,2794421
NC_117364.1,2982810
NC_117366.1,2982812
NC_117258.1,2967988
NC_116567.1,2792879
NC_117365.1,2982811
NC_131357.1,2855314
NC_116760.1,2859664
NC_116642.1,2822449
NC_103859.1,2849097
NC_103120.1,2777397
NC_105724.1,2911661
NC_105619.1,2909746
NC_105618.1,2909745
NC_105617.1,2909744
NC_109358.1,2982898
NC_107631.1,2972436
NC_105106.1,2851977
NC_105788.1,2911669
NC_129764.1,2750856
NC_105105.1,2851976
NC_116749.1,3430574
NC_131356.1,3430573
NC_101840.1,2696437
NC_105436.1,2894742
NC_105507.1,2894738
NC_101820.1,2696410
NC_130781.1,3028905
NC_111484.1,3028904
NC_103567.1,2812882
NC_102605.1,2743843
NC_105505.1,2902664
NC_130088.1,2894792
NC_112025.1,2962599
NC_108349.1,2982033
NC_105482.1,2894791
NC_105102.1,2851972
NC_105492.1,2902661
NC_105503.1,2902660
NC_096934.1,3427959
NC_116839.1,2876210
NC_136440.1,3429986
NC_097188.1,1673637
NC_116676.1,2829140
NC_097196.1,1796013
NC_097199.1,1796015
NC_129902.1,2831174
NC_096938.1,3428315
NC_136439.1,3432848
NC_115887.1,2720905
NC_136438.1,2929256
