accession,taxid
NC_054648.1,2749381
NC_054646.1,2686071
NC_054463.1,2759709
NC_054462.1,2759711
NC_054461.1,2653651
NC_054456.1,2743929
NC_054454.1,2743932
NC_054448.1,2743931
NC_054446.1,2599868
NC_054438.1,2744004
NC_054437.1,2797324
NC_054433.1,2601610
NC_054432.1,2775045
NC_054425.1,2743906
NC_054423.1,2794944
NC_054419.1,2743905
NC_054392.1,2759389
NC_054149.1,2749430
NC_054148.1,2767579
NC_054147.1,2767570
NC_053516.1,2762283
NC_053514.1,2759459
NC_053513.1,2762281
NC_053511.1,2599860
NC_053509.1,2599882
NC_053506.1,2769359
NC_053247.1,2743909
NC_053246.1,2794947
NC_053244.1,2656540
NC_053243.1,2656534
NC_053242.1,2656539
NC_053236.1,2762402
NC_053235.1,2762400
NC_053210.1,2794946
NC_053209.1,2696373
NC_053173.1,2599852
NC_053172.1,2713262
NC_053015.1,2686474
NC_053013.1,2660688
NC_053011.1,2593268
NC_053010.1,2761110
NC_053009.1,2761109
NC_052999.1,2801569
NC_052991.1,2698927
NC_052989.1,2729575
NC_052986.1,2776735
NC_052984.1,2608321
NC_052983.1,2663325
NC_052980.1,2753656
NC_052979.1,2783540
NC_052977.1,2662138
NC_052964.1,2719575
NC_052938.1,2743924
NC_052936.1,2725614
NC_052935.1,2653750
NC_052934.1,2743990
NC_052933.1,2656547
NC_052663.1,2776821
NC_052662.1,2743961
NC_052661.1,2696458
NC_052660.1,2696455
NC_052659.1,2696432
NC_052658.1,2696431
NC_052657.1,2696426
NC_052656.1,2696383
NC_052655.1,2696379
NC_051739.1,2593351
NC_051738.1,2599880
NC_051730.1,2742107
NC_051729.1,2656556
NC_051728.1,2686098
NC_051727.1,2713268
NC_051723.1,2743996
NC_051716.1,2719209
NC_051705.1,2768139
NC_051690.1,2652404
NC_051687.1,2767561
NC_051685.1,2653764
NC_051684.1,2653763
NC_051668.1,2767559
NC_051662.1,2767557
NC_051658.1,2776877
NC_051651.1,2656575
NC_051650.1,2725612
NC_051649.1,2592659
NC_051648.1,2656572
NC_051642.1,2656569
NC_051637.1,2708630
NC_051635.1,2656561
NC_051631.1,2599887
NC_051630.1,2599886
NC_051629.1,2599885
NC_051623.1,2652423
NC_051622.1,2725625
NC_051618.1,2599859
NC_051617.1,2725626
NC_051609.1,2762405
NC_051608.1,2599862
NC_051603.1,2708633
NC_051600.1,2653755
NC_051590.1,2708631
NC_051586.1,2686233
NC_051584.1,2664226
NC_051582.1,2652422
NC_051581.1,2686231
NC_049456.2,2604899
NC_050151.1,2719600
NC_050150.1,2719595
NC_050149.1,2743936
NC_050147.1,2719185
NC_050146.1,2719200
NC_050144.1,2719186
NC_050143.1,2719601
NC_049976.1,2992639
NC_049974.1,2736266
NC_049973.1,2847044
NC_049972.1,2662128
NC_049971.1,2662127
NC_049900.1,2744802
NC_049857.1,2662295
NC_049853.1,2596677
NC_049852.1,2696393
NC_049848.1,2678563
NC_049845.1,2689114
NC_049842.1,2686209
NC_049838.1,2608376
NC_049832.1,2697005
NC_049831.1,2848075
NC_049830.1,2714735
NC_049829.1,2696375
NC_049828.1,2696402
NC_049827.1,2696389
NC_049826.1,2696376
NC_049825.1,2696401
NC_049824.1,2696460
NC_049823.1,2696404
NC_049821.1,2713321
NC_049820.1,2848074
NC_049819.1,2696385
NC_049818.1,2696450
NC_049817.1,2696452
NC_049816.1,2696456
NC_049815.1,2696451
NC_049812.1,2662293
NC_049808.1,2656515
NC_049509.1,2712940
NC_049508.1,2713304
NC_049507.1,2713310
NC_049506.1,2713306
NC_049505.1,2713278
NC_049504.1,2713292
NC_049503.1,2713273
NC_049502.1,2713281
NC_049501.1,2713274
NC_049500.1,2713301
NC_049499.1,2713314
NC_049498.1,2713256
NC_049497.1,2698910
NC_049496.1,2698907
NC_049495.1,2700089
NC_049494.1,2690230
NC_049493.1,2686289
NC_049492.1,2686303
NC_049491.1,2686308
NC_049490.1,2686290
NC_049489.1,2686080
NC_049488.1,2675257
NC_049487.1,2675256
NC_049486.1,2675255
NC_049485.1,2675254
NC_049484.1,2675252
NC_049483.1,2675251
NC_049482.1,2675250
NC_049481.1,2675249
NC_049480.1,2675246
NC_049479.1,2666257
NC_049478.1,2656526
NC_049477.1,2660715
NC_049476.1,2662297
NC_049475.1,2662298
NC_049474.1,2662296
NC_049473.1,2653270
NC_049472.1,2847816
NC_049471.1,2599828
NC_049470.1,2599838
NC_049469.1,2599764
NC_049468.1,2603257
NC_049467.1,2596966
NC_049465.1,2593333
NC_049464.1,2601678
NC_049463.1,2596674
NC_049459.1,2592223
NC_049432.1,2991867
NC_049344.1,2716354
NC_049343.1,2716352
NC_049342.1,2716351
NC_049341.1,2716350
NC_048878.1,2729541
NC_048877.1,2725606
NC_048876.1,2725616
NC_048875.1,2721760
NC_048874.1,2720215
NC_048873.1,2847815
NC_048872.1,2713277
NC_048871.1,2713309
NC_048870.1,2713279
NC_048869.1,2713299
NC_048868.1,2713317
NC_048867.1,2713297
NC_048866.1,2713285
NC_048865.1,2713308
NC_048864.1,2713282
NC_048863.1,2713327
NC_048862.1,2713276
NC_048861.1,2712958
NC_048860.1,2713257
NC_048859.1,2713242
NC_048858.1,2713243
NC_048857.1,2991865
NC_048856.1,2991864
NC_048855.1,2991863
NC_048854.1,2708562
NC_048853.1,2991862
NC_048852.1,2713222
NC_048851.1,2708629
NC_048850.1,2704043
NC_048849.1,2696340
NC_048848.1,2724180
NC_048847.1,2704031
NC_048845.1,2696397
NC_048844.1,2686279
NC_048843.1,2686278
NC_048842.1,2686277
NC_048841.1,2686273
NC_048840.1,2686270
NC_048839.1,2686268
NC_048838.1,2686266
NC_048837.1,2686263
NC_048836.1,2686258
NC_048835.1,2686251
NC_048834.1,2686250
NC_048833.1,2686247
NC_048832.1,2686246
NC_048831.1,2686245
NC_048830.1,2686244
NC_048829.1,2686242
NC_048828.1,2678601
NC_048827.1,2686437
NC_048826.1,2656545
NC_048825.1,2656532
NC_048824.1,2656582
NC_048823.1,2656542
NC_048822.1,2656529
NC_048821.1,2664246
NC_048820.1,2653716
NC_048819.1,2653652
NC_048818.1,2847072
NC_048817.1,2652415
NC_048816.1,2652414
NC_048815.1,2599849
NC_048814.1,2599845
NC_048813.1,2599848
NC_048812.1,2599843
NC_048811.1,2601628
NC_048810.1,2601686
NC_048809.1,2601697
NC_048807.1,2601643
NC_048806.1,2848039
NC_048805.1,2601626
NC_048804.1,2650877
NC_048803.1,2650874
NC_048802.1,2601680
NC_048800.1,2596673
NC_048797.1,2593638
NC_048794.1,2847284
NC_048779.1,2592615
NC_048672.1,2847822
NC_048671.1,2847823
NC_048664.1,2699738
NC_048191.1,2849598
NC_048188.1,2849600
NC_048187.1,2849599
NC_048147.1,2785027
NC_048051.1,2740799
NC_048050.1,2740798
NC_048023.1,2783859
NC_048020.1,2992931
NC_047993.1,2992929
NC_047976.1,2992928
NC_047971.1,2790307
NC_047970.1,2790306
NC_047969.1,2790305
NC_047968.1,2790304
NC_047899.1,2783801
NC_047889.1,2783800
NC_047874.1,2761363
NC_047834.1,2928692
NC_047827.1,2783802
NC_047826.1,2783803
NC_047800.1,2783867
NC_047769.1,2886901
NC_047717.1,2790660
NC_047716.1,2790659
NC_047715.1,2790347
NC_047714.1,2790346
NC_047713.1,2790336
NC_047712.1,2790345
NC_047711.1,2741077
NC_047710.1,2740802
NC_047709.1,2740801
NC_047708.1,2740805
NC_047707.1,2740803
NC_047706.1,2740800
NC_047705.1,2741074
NC_047704.1,2741072
NC_047703.1,2741076
NC_047701.1,2741073
NC_047700.1,2740804
NC_004927.2,2847106
NC_043767.1,2928684
NC_043027.1,2884423
NC_042307.1,2886919
NC_042353.1,2684227
NC_042352.1,2681614
NC_042351.1,2681612
NC_042350.1,2681615
NC_042349.1,2681613
NC_042348.1,2681616
NC_042342.1,2928683
NC_042341.1,2927991
NC_042340.1,2927989
NC_042339.1,2902839
NC_042338.1,2927982
NC_042337.1,2902840
NC_042336.1,2923008
NC_042335.1,2923007
NC_042334.1,2923004
NC_042333.1,2922992
NC_042332.1,2922987
NC_042331.1,2902890
NC_042330.1,2922220
NC_042329.1,2847995
NC_042328.1,2922217
NC_042327.1,2902900
NC_042326.1,2922216
NC_042325.1,2922215
NC_042324.1,2922214
PX963125.1,3683881
NC_042323.1,2922213
NC_042322.1,2922212
NC_042321.1,2922211
NC_042320.1,2922210
NC_042319.1,2922205
NC_042318.1,2922204
NC_042317.1,2922203
NC_042316.1,2902882
NC_042315.1,2920892
NC_042314.1,2920890
NC_042313.1,2920882
NC_042312.1,2920883
NC_042311.1,2920884
NC_042310.1,2920885
NC_042309.1,2920886
NC_042308.1,2902881
NC_042112.1,2927008
NC_042058.1,2920887
NC_042038.1,2886927
NC_042027.1,2919547
NC_042014.1,2024282
NC_042005.1,2678937
NC_041878.1,2772511
NC_041858.1,2884430
NC_041855.1,2927992
NC_041853.1,2927990
NC_041852.1,2927981
NC_041851.1,2923005
NC_041850.1,2922993
NC_041848.1,2681594
NC_041847.1,2922219
NC_041846.1,2902889
NC_041844.1,2922218
NC_004686.2,2907834
NC_004682.2,2907831
NC_014459.2,2919554
NC_030652.1,2913981
NC_024329.1,2784187
NC_029024.1,2880539
NC_028913.1,2911443
NC_028900.1,2919545
NC_028864.1,2911444
NC_002484.2,2932880
NC_008202.2,2911433
NC_005262.3,2883944
NC_003390.2,2905923
NC_027997.1,2994044
NC_027996.1,2994045
NC_027989.1,2920889
NC_027365.1,2923006
NC_027356.1,2681606
NC_027350.1,2885922
NC_027297.1,2991861
NC_005880.2,2928685
NC_023746.1,2922991
NC_023745.1,2923002
NC_023739.1,2902892
NC_023732.1,2922997
NC_023728.1,2922999
NC_023726.1,2922223
NC_023724.1,2922990
NC_023721.1,2922995
NC_023720.1,2922996
NC_023719.1,2884420
NC_023716.1,2902800
NC_023712.1,2922998
NC_023705.1,2922994
NC_023704.1,2922222
NC_023702.1,2923003
NC_023701.1,2902794
NC_023700.1,2920888
NC_023699.1,2923001
NC_023698.1,2902841
NC_023697.1,2902842
NC_023690.1,2923000
NC_023687.1,2902905
NC_022773.1,2880540
NC_022766.1,2884421
NC_022765.1,2884426
NC_012223.2,2681619
NC_022989.1,2892343
NC_022343.1,2991282
NC_021783.1,2991860
NC_021780.1,2928680
NC_021779.1,2928682
NC_021335.1,2847108
NC_021321.1,2847109
NC_021320.1,2847107
NC_021315.1,2927983
NC_019933.2,2994055
NC_019419.2,2681620
NC_020480.1,2884419
NC_020479.1,2880541
NC_020478.1,2880537
NC_020477.1,2880542
NC_019925.1,2678590
NC_019917.1,2886899
NC_019916.1,2892340
NC_019912.1,2884431
NC_019511.1,2927988
NC_019509.1,2920894
NC_019507.1,2881391
NC_019449.1,2892341
NC_019417.1,2923009
NC_019411.1,2927984
NC_019408.1,2927986
NC_019405.1,2927985
NC_018853.1,2927987
NC_018452.1,2881398
NC_018284.1,2922989
NC_018281.1,2922988
NC_017969.1,2681605
NC_006882.2,2908095
NC_017702.1,2892349
NC_017698.1,2892350
NC_017696.1,2892351
NC_017695.1,2892348
NC_017688.1,2892347
NC_016765.1,2992927
NC_016650.1,2922221
NC_016570.1,2886902
NC_016562.1,2885911
NC_016161.1,2681621
NC_012743.2,2886898
NC_015584.1,2920893
NC_015464.1,2885915
NC_015209.1,2785247
NC_015456.1,2919551
NC_015296.1,2991283
NC_015269.1,2991866
NC_015251.1,2919549
NC_015250.1,2919552
NC_014460.1,2919550
NC_014467.1,2681599
NC_014461.1,2919553
NC_014458.1,2902837
NC_013936.1,2902838
NC_013694.1,2919546
NC_013645.1,2919544
NC_013598.1,2919543
NC_013197.1,2919548
NC_013152.1,2898542
NC_013155.1,2898541
NC_013153.1,2898543
NC_012638.1,2681597
NC_012530.1,2892342
NC_011613.1,2914008
NC_011611.1,2914009
NC_011614.1,2681608
NC_011612.1,2914017
NC_011523.1,2880538
NC_011421.1,2884427
NC_011398.1,2849704
NC_011289.1,2914020
NC_011287.1,2914019
NC_011288.1,2914018
NC_011291.1,2902904
NC_009811.2,2908169
NC_011167.1,2884422
NC_011055.1,2914015
NC_011056.1,2914016
NC_011054.1,2902893
NC_011048.1,2884424
NC_011046.1,2898538
NC_009737.2,2785079
NC_011023.1,2914013
NC_011021.1,2914012
NC_011019.1,2914011
NC_011020.1,2914014
NC_010808.1,2993859
NC_010583.1,2886918
NC_010353.1,2914004
NC_010342.1,2914010
NC_010324.1,2679905
NC_010147.1,2994039
NC_009542.2,2913974
NC_009818.1,2913978
NC_009878.1,2902891
NC_009817.1,2913972
NC_009804.1,2914007
NC_009803.1,2914006
NC_009643.1,2880361
NC_009604.1,2881397
NC_009551.1,2914005
NC_009235.2,2881400
NC_009540.1,2892339
NC_009543.1,2913975
NC_009531.1,2914003
NC_009526.1,2911440
NC_009382.1,2993856
NC_009237.1,2883942
NC_009234.1,2883941
NC_009236.1,2881401
NC_009231.1,2849703
NC_009015.1,2886897
NC_009016.1,2913982
NC_008799.1,2994038
NC_008798.1,2993858
NC_008723.1,2913977
PX866598.1,3591861
OM418627.1,2918896
OL657228.1,2910191
OL657227.1,1541872
OL657226.1,1541872
PV714129.1,3434943
NC_008717.1,2913973
NC_008720.1,2886925
NC_008583.1,2911442
NC_007145.2,2681592
NC_008515.1,2681602
NC_008370.1,2892346
NC_008367.1,2913979
NC_008363.1,2908173
NC_008205.1,2911439
NC_008203.1,2911435
NC_008196.1,2681623
NC_008193.1,2911430
NC_008194.1,2902792
NC_008208.1,2911441
NC_008201.1,2681596
NC_008152.1,2681604
NC_007917.1,2883936
NC_007809.1,2911432
NC_007807.1,2911431
NC_007734.1,2885908
NC_007709.1,2994040
NC_007637.1,2679891
NC_007610.1,2908172
NC_007603.1,2994041
NC_007291.1,2886922
NC_007064.1,2908151
NC_007063.1,2908115
NC_007062.1,2908114
NC_007061.1,2936818
NC_007060.1,2936817
NC_007059.1,2936816
NC_007057.1,2936815
NC_007056.1,2936814
NC_007055.1,2936813
NC_007054.1,2936812
NC_007053.1,2952374
NC_007052.1,2908113
NC_007049.1,2908098
NC_007048.1,2908097
NC_007047.1,2908096
NC_007066.1,2908166
NC_007050.1,2908111
NC_007065.1,2908152
NC_007019.1,2908019
NC_007023.1,2887182
NC_007021.1,2908167
NC_006938.1,2681607
NC_006936.1,2892345
NC_006565.1,2892344
NC_006552.1,2679904
NC_002371.2,2908168
NC_005887.1,2883949
NC_005882.1,2881392
NC_005342.2,2883945
NC_004333.2,2883946
NC_005263.2,2883943
NC_002661.2,2952367
NC_005856.1,2886926
NC_005356.1,2992641
NC_005357.1,2885909
NC_005340.1,2907836
NC_005344.1,2905959
NC_004466.2,2905964
NC_005284.1,2881399
NC_005260.1,2880362
NC_005178.1,2907964
NC_005135.1,2907963
NC_005056.1,2681595
NC_004902.1,2907956
NC_004831.2,2907955
NC_004814.1,2907838
NC_004745.1,2992578
NC_004688.1,2907835
NC_004685.1,2907833
NC_004683.1,2907832
NC_004681.1,2907830
NC_004678.1,2679897
NC_000866.4,2681598
NC_002072.2,2932879
NC_004629.1,2905945
NC_004617.1,2992645
NC_004616.1,2905946
NC_004615.1,2681609
NC_003907.2,2907796
NC_004348.1,2905963
NC_004303.1,2681626
NC_004165.1,2994042
NC_003438.1,2928746
NC_003315.1,2932882
NC_003309.1,2883940
NC_003313.1,2905721
NC_003288.1,2993860
NC_003278.1,2993857
NC_002656.1,2902907
NC_002649.1,2679898
NC_002519.1,2905867
NC_002515.1,2905920
NC_002214.1,2681625
NC_002185.1,2905727
NC_002167.1,2681617
NC_002166.1,2681618
NC_001317.1,2681630
NC_000935.1,2682836
NC_000929.1,2681603
NC_000872.1,2905688
NC_000871.1,2905685
NC_000867.1,2905728
NC_001909.1,2898539
NC_001890.1,2789016
NC_001884.1,2932878
NC_001835.1,2905675
NC_001697.1,2992577
NC_001629.1,2898540
NC_001422.1,2886930
NC_001416.1,2681611
NC_001396.1,2928691
NC_069156.1,2932867
NC_069155.1,2787014
NC_069154.1,2874884
NC_069153.1,2301721
NC_069152.1,2596714
NC_069151.1,2530161
NC_069150.1,2834247
NC_069149.1,2732254
NC_069148.1,2491323
NC_069147.1,2959429
NC_062739.1,2507575
NC_062581.1,2530023
NC_061434.1,2283027
NC_061433.1,2486665
NC_061432.1,2283028
NC_060134.1,2483673
NC_060132.1,2591121
NC_060131.1,2301693
NC_048048.2,2283272
NC_055811.1,2590929
NC_055810.1,2588492
NC_055809.1,2588514
NC_055808.1,2588507
NC_055807.1,2588503
NC_055806.1,2588505
NC_055805.1,2591116
NC_055804.1,2591205
NC_055803.1,2591208
NC_055802.1,2591106
NC_055801.1,2590874
NC_055800.1,2590896
NC_055799.1,2588130
NC_055798.1,2588127
NC_055797.1,2588128
NC_055796.1,2588131
NC_055795.1,2572528
NC_055794.1,2576872
NC_055792.1,2517927
NC_055791.1,2517973
NC_055790.1,2517969
NC_055789.1,2510506
NC_055788.1,2507863
NC_055787.1,2502425
NC_055786.1,2500799
NC_055785.1,2500789
NC_055784.1,2500581
NC_055783.1,2500761
NC_055782.1,2499909
NC_055781.1,2479933
NC_055779.1,2483675
NC_055778.1,2483674
NC_055777.1,2483672
NC_055776.1,2483670
NC_055775.1,2483668
NC_055774.1,2483666
NC_055773.1,2483665
NC_055772.1,2483719
NC_055771.1,2315530
NC_055770.1,2315529
NC_055769.1,2315610
NC_055768.1,2315700
NC_055767.1,2301603
NC_055766.1,2301602
NC_055765.1,2301560
NC_055764.1,2301559
NC_055763.1,2301558
NC_055762.1,2301695
NC_055761.1,2100130
NC_055759.1,2283292
NC_055758.1,2283246
NC_055757.1,2250214
NC_055755.1,2250322
NC_055754.1,2250320
NC_055753.1,2250396
NC_055752.1,2250394
NC_055751.1,2250390
NC_055750.1,2250422
NC_055742.1,2163891
NC_055741.1,2163889
NC_055740.1,2163887
NC_055739.1,2108137
NC_055738.1,2079415
NC_055737.1,2065203
NC_055734.1,2340715
NC_055733.1,2053701
NC_055732.1,2041515
NC_055731.1,2041511
NC_055730.1,2027894
NC_055707.1,2077135
NC_055231.1,2478919
NC_055230.1,2200830
NC_055229.1,2042482
NC_055165.1,2039780
NC_055116.1,2493125
NC_055060.1,2500797
NC_055059.1,2562185
NC_055049.1,2060948
NC_055048.1,2060954
NC_055047.1,2060950
NC_055046.1,2060951
NC_055045.1,2029064
NC_055044.1,2588088
NC_055043.1,2268608
NC_055039.1,2510149
NC_055038.1,2066503
NC_055035.1,2530024
NC_055031.1,2282396
NC_055028.1,2249773
NC_055027.1,2575255
NC_055023.1,2495555
NC_055022.1,2495554
NC_055021.1,2495553
NC_055019.1,2491321
NC_055005.1,2305483
NC_055004.1,2305489
NC_055003.1,2847818
NC_055002.1,2305487
NC_055001.1,2305485
NC_055000.1,2305484
NC_054999.1,2305480
NC_054998.1,2024340
NC_054997.1,2024339
NC_054996.1,2024338
NC_054994.1,2024337
NC_054993.1,2024336
NC_054992.1,2024335
NC_054991.1,2500815
NC_054990.1,2024334
NC_054989.1,2591411
NC_054985.1,2249779
NC_054984.1,2070190
NC_054983.1,2029631
NC_054982.1,2557555
NC_054980.1,2492948
NC_054976.1,2588090
NC_054974.1,2059858
NC_054972.1,2591042
NC_054971.1,2591041
NC_054970.1,2048976
NC_054969.1,2591048
NC_054968.1,2591043
NC_054967.1,2591039
NC_054966.1,2026944
NC_054964.1,2282904
NC_054944.1,2321390
NC_054941.1,2024321
NC_054940.1,2591063
NC_054939.1,2591056
NC_054928.1,2315580
NC_054926.1,2508177
NC_054925.1,2184699
NC_054922.1,2508180
NC_054920.1,2508181
NC_054919.1,2502306
NC_054918.1,2502301
NC_054917.1,2502303
NC_054916.1,2081604
NC_054915.1,2508179
NC_054914.1,2079315
NC_054910.1,2576882
NC_054908.1,2420240
NC_054904.1,2163890
NC_054899.1,2079276
NC_054894.1,2589652
NC_054893.1,2575323
NC_054892.1,2591407
NC_054814.1,2499042
NC_054813.1,2500574
NC_054812.1,2024294
NC_054809.1,2126943
NC_054808.1,2488784
NC_054806.1,2591074
NC_054805.1,2041517
NC_054804.1,2041524
NC_054802.1,2517961
NC_054801.1,2572317
NC_054798.1,2301608
NC_054795.1,2041522
NC_054792.1,2077134
NC_054791.1,2024303
NC_054788.1,2077150
NC_054787.1,2250309
NC_054786.1,2517967
NC_054784.1,2530140
NC_054782.1,2047840
NC_054781.1,2182403
NC_054780.1,2502450
NC_054778.1,2047836
NC_054775.1,2517968
NC_054774.1,2126816
NC_054773.1,2126722
NC_054770.1,2530154
NC_054761.1,2499071
NC_054760.1,2590944
NC_054727.1,2591223
NC_054724.1,2094144
NC_054723.1,2571249
NC_054722.1,2419614
NC_054720.1,2502469
NC_054719.1,2502470
NC_054717.1,2301609
NC_054716.1,2301548
NC_054715.1,2041521
NC_054714.1,2027899
NC_054680.1,2182319
NC_054677.1,2053672
NC_054671.1,2108134
NC_054670.1,2301715
NC_054668.1,2041206
NC_054666.1,2530160
NC_054665.1,2041209
NC_054664.1,2041205
NC_054663.1,2041207
NC_054662.1,2059882
NC_054661.1,2301573
NC_054660.1,2510525
NC_054656.1,2201421
NC_054655.1,2590946
NC_054652.1,2500166
NC_054651.1,2340716
NC_054650.1,2565502
NC_054647.1,2562461
NC_054644.1,2301723
NC_054643.1,2419753
NC_054642.1,2479482
NC_054641.1,2583286
NC_054640.1,2419756
NC_054639.1,2234035
NC_054638.1,2591136
NC_054637.1,2126819
NC_054636.1,2282196
NC_054466.1,2588099
NC_054465.1,2588098
NC_054464.1,2419942
NC_054459.1,2099860
NC_054458.1,2099853
NC_054455.1,2301545
NC_054453.1,2588511
NC_054452.1,2047834
NC_054451.1,2530132
NC_054450.1,2301547
NC_054449.1,2047843
NC_054447.1,2517965
NC_054445.1,2575612
NC_054444.1,2575610
NC_054443.1,2024302
NC_054442.1,2315539
NC_054441.1,2530143
NC_054439.1,2315544
NC_054436.1,2301697
NC_054435.1,2588489
NC_054434.1,2301538
NC_054431.1,2283249
NC_054430.1,2499021
NC_054429.1,2047867
NC_054428.1,2250416
NC_054424.1,2499008
NC_054422.1,2047760
NC_054420.1,2499003
NC_054418.1,2488953
NC_054393.1,2517971
NC_054146.1,2201420
NC_053512.1,2041344
NC_053510.1,2283252
NC_053249.1,2591211
NC_053248.1,2591212
NC_053245.1,2301561
NC_053241.1,2250417
NC_053240.1,2591120
NC_053239.1,2483667
NC_053238.1,2483669
NC_053237.1,2301692
NC_053234.1,2483671
NC_053211.1,2510508
NC_053174.1,2571253
NC_053012.1,2315217
NC_053000.1,2419754
NC_052988.1,2024241
NC_052987.1,2079340
NC_052985.1,2591031
NC_052981.1,2048007
NC_052975.1,2026102
NC_052972.1,2218620
NC_052971.1,2218617
NC_052970.1,2218619
NC_052969.1,2218618
NC_052941.1,2315704
NC_052940.1,2126925
NC_052939.1,2250352
NC_052937.1,2250371
NC_052932.1,2126933
NC_052654.1,2144176
NC_052653.1,2315527
NC_052652.1,2041347
NC_051740.1,2178923
NC_051737.1,2024296
NC_051736.1,2041518
NC_051735.1,2572533
NC_051733.1,2575357
NC_051731.1,2517951
NC_051726.1,2099637
NC_051725.1,2079285
NC_051722.1,2041528
NC_051721.1,2108127
NC_051720.1,2488980
NC_051718.1,2484216
NC_051717.1,2027903
NC_051714.1,2517970
NC_051710.1,2301571
NC_051706.1,2250367
NC_051704.1,2027900
NC_051703.1,2301570
NC_051702.1,2081627
NC_051700.1,2584498
NC_051699.1,2500793
NC_051696.1,2041544
NC_051695.1,2126954
NC_051694.1,2250364
NC_051693.1,2079284
NC_051691.1,2301710
NC_051683.1,2315711
NC_051682.1,2163593
NC_051681.1,2182398
NC_051680.1,2283297
NC_051679.1,2591129
NC_051678.1,2419980
NC_051676.1,2301700
NC_051675.1,2283296
NC_051669.1,2301566
NC_051665.1,2282909
NC_051664.1,2283295
NC_051663.1,2301565
NC_051661.1,2301612
NC_051657.1,2484209
NC_051656.1,2530128
NC_051653.1,2027893
NC_051652.1,2301563
NC_051647.1,2163591
NC_051639.1,2301702
NC_051636.1,2182393
NC_051634.1,2126812
NC_051633.1,2315613
NC_051626.1,2484215
NC_051625.1,2517936
NC_051624.1,2510585
NC_051621.1,2094136
NC_051619.1,2507856
NC_051616.1,2024005
NC_051615.1,2250355
NC_051614.1,2027890
NC_051612.1,2163590
NC_051611.1,2108121
NC_051597.1,2283261
NC_051596.1,2301556
NC_051595.1,2094139
NC_051594.1,2126952
NC_051593.1,2301704
NC_051592.1,2530139
NC_051589.1,2492961
NC_051588.1,2250291
NC_051587.1,2301619
NC_051585.1,2483623
NC_051583.1,2315616
NC_051580.1,2282910
NC_050153.1,2178932
NC_050148.1,2590837
NC_050145.1,2203191
NC_049977.1,2301731
NC_049970.1,2591398
NC_049969.1,2500810
NC_049968.1,2500809
NC_049967.1,2500808
NC_049966.1,2315470
NC_049951.1,2282412
NC_049940.1,2546620
NC_049939.1,2546619
NC_049938.1,2546625
NC_049936.1,2546623
NC_049935.1,2546626
NC_049934.1,2546618
NC_049933.1,2546622
NC_049932.1,2546621
NC_049930.1,2501743
NC_049929.1,2182358
NC_049928.1,2590880
NC_049927.1,2590936
NC_049919.1,2108115
NC_049917.1,2590400
NC_049847.1,2580406
NC_049839.1,2580408
NC_049851.1,2530033
NC_049850.1,2530032
NC_049849.1,2591403
NC_049846.1,2580405
NC_049844.1,2488573
NC_049843.1,2099585
NC_049841.1,2580407
NC_049840.1,2530029
NC_049837.1,2591370
NC_049836.1,2591371
NC_049835.1,2591369
NC_049834.1,2591375
NC_049833.1,2591374
NC_049822.1,2508189
NC_049814.1,2591057
NC_049813.1,2576500
NC_049805.1,2488571
NC_049512.1,2592196
NC_049511.1,2178927
NC_049510.1,2178928
NC_049462.1,2589660
NC_049461.1,2592161
NC_049460.1,2592212
NC_049458.1,2592220
NC_049457.1,2576484
NC_049455.1,2530042
NC_049454.1,2510455
NC_049453.1,2510464
NC_049452.1,2510470
NC_049451.1,2510480
NC_049450.1,2510483
NC_049449.1,2510487
NC_049448.1,2510486
NC_049447.1,2500819
NC_049446.1,2500816
NC_049445.1,2500827
NC_049444.1,2419682
NC_049443.1,2419752
NC_049442.1,2315608
NC_049441.1,2301662
NC_049440.1,2301647
NC_049439.1,2301648
NC_049438.1,2269366
NC_049437.1,2231347
NC_049436.1,2218612
NC_049435.1,2218611
NC_049434.1,2079278
NC_049433.1,2070200
NC_049429.1,2340712
NC_049428.1,2054274
NC_049427.1,2053671
NC_049426.1,2053708
NC_049425.1,2053705
NC_049424.1,2027277
NC_049423.1,2027272
NC_049422.1,2027267
NC_049421.1,2027260
NC_049420.1,2027259
NC_049419.1,2027256
NC_049418.1,2027252
NC_049417.1,2027250
NC_049416.1,2026814
NC_049415.1,2029676
NC_049414.1,2029675
NC_049413.1,2029674
NC_049412.1,2029673
NC_049411.1,2029672
NC_049410.1,2029671
NC_049409.1,2029670
NC_049408.1,2029669
NC_049407.1,2029668
NC_049406.1,2029667
NC_049405.1,2029666
NC_049404.1,2029665
NC_049403.1,2029664
NC_049402.1,2029663
NC_049401.1,2029662
NC_049400.1,2029661
NC_049399.1,2029660
NC_049398.1,2029659
NC_049397.1,2029658
NC_049384.1,2137745
NC_049340.1,2547425
NC_048625.1,2036055
NC_048627.1,2184265
NC_048626.1,2498591
NC_048801.1,2590948
NC_048799.1,2589658
NC_048798.1,2587809
NC_048796.1,2589665
NC_048795.1,2589656
NC_048793.1,2588490
NC_048792.1,2587814
NC_048791.1,2588499
NC_048790.1,2588502
NC_048789.1,2588504
NC_048788.1,2588513
NC_048787.1,2588501
NC_048786.1,2592195
NC_048784.1,2591132
NC_048783.1,2591111
NC_048782.1,2591131
NC_048781.1,2591135
NC_048780.1,2591204
NC_048778.1,2590877
NC_048777.1,2583039
NC_048776.1,2591033
